,date,daily_new_cases,cumulative_total_cases,cumulative_total_deaths,active_cases,daily_vaccinations,total_vaccinations
0,2020-12-02,643702.0,65475274.0,1514215.0,13840161.0,0.0,1.0
1,2020-12-03,689318.0,66164592.0,1526969.0,13962280.0,0.0,1.0
2,2020-12-04,691047.0,66855639.0,1539275.0,14099032.0,0.0,2.0
3,2020-12-05,643747.0,67499386.0,1549824.0,14165027.0,0.0,2.0
4,2020-12-06,551980.0,68051366.0,1557926.0,14263405.0,0.0,2.0
5,2020-12-07,525910.0,68577276.0,1566728.0,14251126.0,1.0,4.0
6,2020-12-08,608470.0,69185746.0,1579158.0,14274144.0,0.0,4.0
7,2020-12-09,659277.0,69845023.0,1591657.0,14312137.0,1.0,5.0
8,2020-12-10,697264.0,70542287.0,1604559.0,14427719.0,1.0,6.0
9,2020-12-11,710085.0,71252372.0,1617114.0,14524210.0,1.0,7.0
10,2020-12-12,657265.0,71909637.0,1628069.0,14619371.0,1.0,7.0
11,2020-12-13,551922.0,72461559.0,1636389.0,14728576.0,1.0,7.0
12,2020-12-14,532600.0,72994159.0,1645719.0,14724820.0,0.0,12.0
13,2020-12-15,601950.0,73596109.0,1659129.0,14754659.0,718.0,1529230.0
14,2020-12-16,724565.0,74320674.0,1672870.0,14835534.0,192366.0,1531530.0
15,2020-12-17,736304.0,75056978.0,1686184.0,15007228.0,193256.0,1535710.0
16,2020-12-18,718667.0,75775645.0,1698864.0,15215166.0,193649.0,1539682.0
17,2020-12-19,639019.0,76414664.0,1710275.0,15282386.0,193235.0,1540463.0
18,2020-12-20,562307.0,76976971.0,1719039.0,15415619.0,200338.0,2104874.0
19,2020-12-21,540011.0,77516982.0,1728965.0,15390902.0,267867.0,2195795.0
20,2020-12-22,619424.0,78136406.0,1742592.0,15417377.0,347607.0,2269651.0
21,2020-12-23,691838.0,78828244.0,1756262.0,15512545.0,391556.0,2773854.0
22,2020-12-24,694779.0,79523023.0,1768472.0,15650216.0,460848.0,2871992.0
23,2020-12-25,536028.0,80059051.0,1777512.0,15752375.0,494059.0,2915690.0
24,2020-12-26,471070.0,80530121.0,1785227.0,15708306.0,516036.0,3891997.0
25,2020-12-27,445915.0,80976036.0,1793436.0,15690601.0,518971.0,4063021.0
26,2020-12-28,501370.0,81477406.0,1803316.0,15605375.0,582306.0,4435224.0
27,2020-12-29,637433.0,82114839.0,1817946.0,15629350.0,661552.0,4708229.0
28,2020-12-30,734731.0,82849570.0,1833232.0,15746794.0,739683.0,5701906.0
29,2020-12-31,759357.0,83608927.0,1847138.0,15969675.0,777960.0,9016894.0
30,2021-01-01,634062.0,84242989.0,1857213.0,16179429.0,836192.0,9129576.0
31,2021-01-02,569089.0,84812078.0,1866038.0,16210369.0,911908.0,11493211.0
32,2021-01-03,541208.0,85353286.0,1874156.0,16311476.0,963261.0,13189604.0
33,2021-01-04,563003.0,85916289.0,1884313.0,16197814.0,1226418.0,14010024.0
34,2021-01-05,713711.0,86630000.0,1898949.0,16355707.0,1335203.0,15581421.0
35,2021-01-06,805480.0,87435480.0,1913803.0,16561898.0,1398166.0,16600289.0
36,2021-01-07,840200.0,88275680.0,1928556.0,16859517.0,1525401.0,17840547.0
37,2021-01-08,837307.0,89112987.0,1943760.0,17209265.0,1623133.0,19241499.0
38,2021-01-09,766125.0,89879112.0,1956654.0,17431494.0,1685155.0,24149386.0
39,2021-01-10,642380.0,90521492.0,1966087.0,17643344.0,1738882.0,25871037.0
40,2021-01-11,591476.0,91112968.0,1976278.0,17684199.0,1806073.0,28956633.0
41,2021-01-12,685103.0,91798071.0,1992750.0,17777320.0,1813446.0,30217465.0
42,2021-01-13,742130.0,92540201.0,2009298.0,17970203.0,1952014.0,33704159.0
43,2021-01-14,752316.0,93292517.0,2025041.0,18122128.0,2391194.0,36183275.0
44,2021-01-15,757135.0,94049652.0,2040171.0,18284519.0,2583582.0,38926132.0
45,2021-01-16,675730.0,94725382.0,2053994.0,18428765.0,2780272.0,40093448.0
46,2021-01-17,559873.0,95285255.0,2063552.0,18521279.0,2764340.0,40917808.0
47,2021-01-18,478201.0,95763456.0,2073685.0,18471049.0,2928274.0,42342030.0
48,2021-01-19,592067.0,96355523.0,2089401.0,18333643.0,3145358.0,47417166.0
49,2021-01-20,662598.0,97018121.0,2106655.0,18340064.0,3207933.0,54936591.0
50,2021-01-21,649503.0,97667624.0,2123304.0,18432604.0,3320572.0,57909763.0
51,2021-01-22,635762.0,98303386.0,2139018.0,18552965.0,3460936.0,61585434.0
52,2021-01-23,599584.0,98902970.0,2153309.0,18639178.0,3663361.0,64690834.0
53,2021-01-24,484016.0,99386986.0,2163141.0,18682272.0,3808628.0,67357877.0
54,2021-01-25,441115.0,99828101.0,2173643.0,18504960.0,3938219.0,70030641.0
55,2021-01-26,529407.0,100357508.0,2190356.0,18407258.0,3999101.0,72606768.0
56,2021-01-27,588698.0,100946206.0,2207423.0,18434632.0,4192504.0,83701066.0
57,2021-01-28,595466.0,101541672.0,2223862.0,18405722.0,4275262.0,87988402.0
58,2021-01-29,582054.0,102123726.0,2238777.0,18443725.0,4323209.0,92189027.0
59,2021-01-30,527953.0,102651679.0,2251611.0,18438652.0,4315064.0,95981454.0
60,2021-01-31,417593.0,103069272.0,2261083.0,18429005.0,4263635.0,100342950.0
61,2021-02-01,392002.0,103461274.0,2271112.0,18144814.0,4479125.0,103292270.0
62,2021-02-02,453784.0,103915058.0,2286411.0,17993242.0,4656988.0,105900381.0
63,2021-02-03,486575.0,104401633.0,2301627.0,17872226.0,4901844.0,116788014.0
64,2021-02-04,508150.0,104909783.0,2315619.0,17808868.0,5123344.0,121461702.0
65,2021-02-05,494625.0,105404408.0,2329535.0,17777500.0,5252518.0,125753827.0
66,2021-02-06,440845.0,105845253.0,2340880.0,17662247.0,5508706.0,130116986.0
67,2021-02-07,362503.0,106207756.0,2348646.0,17561177.0,5756828.0,133731848.0
68,2021-02-08,324444.0,106532200.0,2357559.0,17335645.0,5709769.0,137014872.0
69,2021-02-09,390081.0,106922281.0,2371105.0,17143380.0,5699776.0,149787782.0
70,2021-02-10,439813.0,107362094.0,2384498.0,16947730.0,5619959.0,154664619.0
71,2021-02-11,445843.0,107807937.0,2397505.0,16856639.0,5542718.0,159561425.0
72,2021-02-12,427548.0,108235485.0,2409375.0,16760739.0,5668163.0,165198669.0
73,2021-02-13,385898.0,108621383.0,2419528.0,16665272.0,5606253.0,170243957.0
74,2021-02-14,303523.0,108924906.0,2426355.0,16532778.0,5565641.0,174216874.0
75,2021-02-15,266929.0,109191835.0,2433342.0,16322054.0,5484014.0,177353538.0
76,2021-02-16,346469.0,109538304.0,2443426.0,16127667.0,5547136.0,183130368.0
77,2021-02-17,395222.0,109933526.0,2454309.0,15995742.0,5558754.0,188017654.0
78,2021-02-18,402917.0,110336443.0,2465513.0,15886746.0,5711071.0,194184126.0
79,2021-02-19,410005.0,110746448.0,2476491.0,15810805.0,5708624.0,199675331.0
80,2021-02-20,382185.0,111128633.0,2485036.0,15712849.0,5620294.0,204164587.0
81,2021-02-21,319852.0,111448485.0,2491510.0,15625389.0,5540397.0,207733788.0
82,2021-02-22,285515.0,111734000.0,2498398.0,15428026.0,5506391.0,211428551.0
83,2021-02-23,375629.0,112109629.0,2508932.0,15281492.0,5469043.0,215934458.0
84,2021-02-24,438930.0,112548559.0,2519262.0,15211593.0,5546580.0,221435029.0
85,2021-02-25,448195.0,112996754.0,2529560.0,15175992.0,5596113.0,227537799.0
86,2021-02-26,433998.0,113430752.0,2539101.0,15150086.0,5714603.0,233867988.0
87,2021-02-27,395765.0,113826517.0,2547266.0,15069630.0,5890111.0,239382306.0
88,2021-02-28,320395.0,114146912.0,2553500.0,14998832.0,5990385.0,255881619.0
89,2021-03-01,293816.0,114440728.0,2560365.0,14847395.0,6207056.0,260898424.0
90,2021-03-02,368867.0,114809595.0,2570070.0,14742235.0,6525768.0,271379635.0
91,2021-03-03,442241.0,115251836.0,2580562.0,14752758.0,6826115.0,278569781.0
92,2021-03-04,447360.0,115699196.0,2590360.0,14712529.0,7121474.0,287006076.0
93,2021-03-05,450573.0,116149769.0,2599812.0,14709732.0,7402770.0,295171298.0
94,2021-03-06,412048.0,116561817.0,2607588.0,14668079.0,7712142.0,302619686.0
95,2021-03-07,377327.0,116939144.0,2613351.0,14665929.0,7778930.0,308080738.0
96,2021-03-08,292654.0,117231798.0,2620180.0,14502292.0,8081768.0,314970067.0
97,2021-03-09,390920.0,117622718.0,2629148.0,14434052.0,8203937.0,321893018.0
98,2021-03-10,465975.0,118088693.0,2638899.0,14462197.0,8333650.0,330622756.0
99,2021-03-11,479723.0,118568416.0,2648445.0,14489360.0,8308411.0,338837527.0
100,2021-03-12,491049.0,119059465.0,2657715.0,14547414.0,8552612.0,348525346.0
101,2021-03-13,450629.0,119510094.0,2665743.0,14594103.0,8938017.0,358577935.0
102,2021-03-14,374786.0,119884880.0,2671588.0,14605689.0,8857066.0,375336538.0
103,2021-03-15,336857.0,120221737.0,2678531.0,14526253.0,9308617.0,385153946.0
104,2021-03-16,451683.0,120673420.0,2688547.0,14506211.0,9644292.0,393439514.0
105,2021-03-17,531190.0,121204610.0,2698615.0,14575653.0,9955376.0,403821311.0
106,2021-03-18,549161.0,121753771.0,2708430.0,14613748.0,10326747.0,413621367.0
107,2021-03-19,555626.0,122309397.0,2718573.0,14722873.0,10588007.0,425895362.0
108,2021-03-20,515511.0,122824908.0,2726820.0,14823723.0,10624370.0,445473027.0
109,2021-03-21,434340.0,123259248.0,2732844.0,14882778.0,11192256.0,451510268.0
110,2021-03-22,424605.0,123683853.0,2740158.0,14786085.0,11449991.0,467413858.0
111,2021-03-23,500964.0,124184817.0,2750752.0,14731248.0,11833057.0,480161002.0
112,2021-03-24,586978.0,124771796.0,2760807.0,14769756.0,12196247.0,494019727.0
113,2021-03-25,631543.0,125403339.0,2771256.0,14876727.0,12932920.0,510249262.0
114,2021-03-26,631980.0,126035319.0,2782600.0,14978706.0,13785525.0,528632885.0
115,2021-03-27,593947.0,126629266.0,2792303.0,15089001.0,14421655.0,543590374.0
116,2021-03-28,499155.0,127128421.0,2799095.0,15177203.0,14807612.0,554798274.0
117,2021-03-29,460674.0,127589095.0,2806831.0,15140989.0,14732788.0,569850199.0
118,2021-03-30,543766.0,128132861.0,2817878.0,15154520.0,14715266.0,582766095.0
119,2021-03-31,642626.0,128775487.0,2829717.0,15267365.0,15167635.0,601662187.0
120,2021-04-01,703088.0,129478575.0,2841182.0,15439687.0,15791780.0,621705850.0
121,2021-04-02,648801.0,130127376.0,2851497.0,15619489.0,16053160.0,643104627.0
122,2021-04-03,565413.0,130692789.0,2860198.0,15704558.0,15856643.0,656924167.0
123,2021-04-04,548950.0,131241739.0,2867287.0,15776387.0,15958910.0,669654515.0
124,2021-04-05,478469.0,131720208.0,2874861.0,15726537.0,16136893.0,682972486.0
125,2021-04-06,630521.0,132350729.0,2886843.0,15751022.0,16477495.0,698740305.0
126,2021-04-07,684816.0,133035545.0,2899475.0,15849590.0,16572315.0,716538143.0
127,2021-04-08,742969.0,133778514.0,2913025.0,16023049.0,16780101.0,739572501.0
128,2021-04-09,789164.0,134567678.0,2925960.0,16236226.0,16990501.0,760406284.0
129,2021-04-10,718612.0,135286290.0,2936603.0,16375275.0,17558942.0,778783547.0
130,2021-04-11,650290.0,135936580.0,2944913.0,16472923.0,17703540.0,791996003.0
131,2021-04-12,587803.0,136524383.0,2953748.0,16466497.0,18233185.0,809953732.0
132,2021-04-13,737629.0,137262012.0,2966679.0,16552614.0,18789110.0,828901208.0
133,2021-04-14,811051.0,138073063.0,2980309.0,16720499.0,18744596.0,846962541.0
134,2021-04-15,841054.0,138914117.0,2994226.0,16913166.0,18156103.0,865038288.0
135,2021-04-16,834781.0,139748898.0,3006852.0,17097924.0,17624496.0,882084411.0
136,2021-04-17,801147.0,140550045.0,3018590.0,17258731.0,17098856.0,895646029.0
137,2021-04-18,728725.0,141278770.0,3028162.0,17314073.0,16833247.0,910637930.0
138,2021-04-19,660050.0,141938820.0,3038075.0,17280411.0,16399220.0,925697598.0
139,2021-04-20,825671.0,142764491.0,3051943.0,17344629.0,15593238.0,937976935.0
140,2021-04-21,884158.0,143648649.0,3066063.0,17454503.0,15532169.0,956031923.0
141,2021-04-22,887324.0,144535973.0,3079587.0,17606918.0,16035137.0,977940650.0
142,2021-04-23,900222.0,145436195.0,3093846.0,17768335.0,16303461.0,996309976.0
143,2021-04-24,842632.0,146278827.0,3107389.0,17859047.0,16560464.0,1009437089.0
144,2021-04-25,744112.0,147022939.0,3117465.0,17917134.0,16935114.0,1029360706.0
145,2021-04-26,675857.0,147698796.0,3128292.0,17787661.0,17348071.0,1045907514.0
146,2021-04-27,833199.0,148531995.0,3143133.0,17793535.0,18176746.0,1065336058.0
147,2021-04-28,889833.0,149421828.0,3158486.0,17856472.0,19011776.0,1089843681.0
148,2021-04-29,901934.0,150323762.0,3173779.0,17948269.0,19432370.0,1114398794.0
149,2021-04-30,876212.0,151199974.0,3188066.0,17982862.0,20271715.0,1139233589.0
150,2021-05-01,813565.0,152013539.0,3201119.0,17941213.0,20226540.0,1154272414.0
151,2021-05-02,696383.0,152709922.0,3211186.0,17911887.0,19916837.0,1166889054.0
152,2021-05-03,673519.0,153383441.0,3221830.0,17770015.0,19522279.0,1180257744.0
153,2021-05-04,781350.0,154164791.0,3235482.0,17646733.0,19158405.0,1198801998.0
154,2021-05-05,846961.0,155011752.0,3250097.0,17657297.0,18740285.0,1218537869.0
155,2021-05-06,859405.0,155871157.0,3264175.0,17677760.0,18618000.0,1242143221.0
156,2021-05-07,840457.0,156711614.0,3277875.0,17725839.0,18578164.0,1268449755.0
157,2021-05-08,795269.0,157506883.0,3290986.0,17645703.0,19327518.0,1288105128.0
158,2021-05-09,664992.0,158171875.0,3301356.0,17571200.0,19735598.0,1304104654.0
159,2021-05-10,611879.0,158783754.0,3311963.0,17370536.0,20585233.0,1326467507.0
160,2021-05-11,713021.0,159496775.0,3325321.0,17253403.0,21512302.0,1350981705.0
161,2021-05-12,754598.0,160251373.0,3339180.0,17142905.0,22409547.0,1377041041.0
162,2021-05-13,745873.0,160997246.0,3352665.0,17070539.0,22786576.0,1403516291.0
163,2021-05-14,701065.0,161698311.0,3365509.0,16970570.0,22933565.0,1426265114.0
164,2021-05-15,646417.0,162344728.0,3377768.0,16776629.0,23409266.0,1449442636.0
165,2021-05-16,548613.0,162893341.0,3387769.0,16591626.0,24428725.0,1474054046.0
166,2021-05-17,537983.0,163431324.0,3398539.0,16303799.0,25242165.0,1499181102.0
167,2021-05-18,614754.0,164046078.0,3412509.0,16053339.0,25835014.0,1527097938.0
168,2021-05-19,662660.0,164708738.0,3425711.0,15926259.0,26196410.0,1553848082.0
169,2021-05-20,655297.0,165364035.0,3438829.0,15785622.0,27169060.0,1587618369.0
170,2021-05-21,621867.0,165985902.0,3451597.0,15673186.0,27989019.0,1616684507.0
171,2021-05-22,571534.0,166557436.0,3462416.0,15512169.0,28452049.0,1643354959.0
172,2021-05-23,477828.0,167035264.0,3472307.0,15379439.0,28608712.0,1666939621.0
